,beer,rec_beer,distance
0,634182,906974,2.002498439450078
1,634182,229310,2.039607805437115
2,634182,252000,2.039607805437115
3,634182,906973,2.0615528128088303
4,634182,784135,2.0615528128088303
5,634182,748613,2.0615528128088303
6,634182,764554,2.0615528128088303
7,634182,613981,2.3853720883753122
8,634182,899802,2.3853720883753122
9,667364,86387,2.0
10,667364,614833,2.0
11,667364,315443,2.5
12,667364,748613,2.8284271247461903
13,667364,550283,2.8284271247461903
14,667364,906973,2.8284271247461903
15,667364,814374,2.8284271247461903
16,667364,708686,2.8284271247461903
17,667364,764554,2.8284271247461903
18,708686,143730,0.5
19,708686,550283,1.4142135623730951
20,708686,12775,1.4142135623730951
21,708686,553454,2.0
22,708686,622701,2.0
23,708686,718172,2.002498439450078
24,708686,500620,2.009975124224179
25,708686,271470,2.0615528128088303
26,708686,748613,2.449489742783178
27,718172,553454,0.09999999999999006
28,718172,622701,0.09999999999999006
29,718172,500620,0.29999999999999977
30,718172,12775,1.4177446878757818
31,718172,271470,1.4696938456699058
32,718172,550283,2.002498439450078
33,718172,708686,2.002498439450078
34,718172,764554,2.002498439450078
35,718172,229826,2.00249843945008
36,730320,219102,2.0
37,730320,493355,2.0
38,730320,268685,3.4641016151377544
39,730320,124756,3.5832945734337835
40,730320,221535,3.774917217635375
41,730320,444742,3.774917217635375
42,730320,633978,4.123105625617661
43,730320,179028,4.69041575982343
44,730320,143730,4.898979485566356
45,730796,72025,2.00249843945008
46,730796,621308,2.0223748416156693
47,730796,35424,2.449489742783178
48,730796,986319,2.467792535850614
49,730796,552713,2.467792535850614
50,730796,748591,2.547547840571399
51,730796,271470,2.8284271247461903
52,730796,315443,2.8284271247461903
53,730796,358361,2.8284271247461903
54,748591,552713,1.0000000000000018
55,748591,764554,2.009975124224179
56,748591,35424,2.1189620100417086
57,748591,906974,2.1540659228538024
58,748591,784135,2.3323807579381204
59,748591,500620,2.449489742783178
60,748591,748613,2.457641145488902
61,748591,906973,2.457641145488902
